"Albania",241
"Andorra",0
"Belarus",512
"Belgium",1056
"Bosnia and Herzegovina",10946
"Bulgaria",5781
"Cyprus",57
"GDR",0
"Estonia",1381
"Finland",2494
"France",5894
"Greece",1792
"Ireland",1519
"Iceland",8223
"Italy",6173
"Yugoslavia",6071
"Yugoslavia, Federal Republic",996
"Kosovo",2153
"Croatia",583
"Latvia",4460
"Liechtenstein",5
"Lithuania",9486
"Luxembourg",39
"Malta",57
"Moldova",249
"Monaco",1
"Montenegro",354
"Netherlands",6931
"Northern Ireland",0
"Republic of North Macedonia",2912
"Norway",15581
"Poland",28671
"Portugal",1715
"Romania",14625
"Russia",4598
"San Marino",2
"Switzerland",1462
"Serbia",1100
"Serbia and Montenegro",829
"Slovakia",1490
"Slovenia",332
"Soviet Union",206
"Spain",5034
"United Kingdom",15757
"Sweden",13757
"Czech Republic",976
"Czechoslovakia",156
"Turkey",28883
"Germany",22796
"Ukraine",6947
"Hungary",3241
"Vatican City State",0
"Austria",1325
"Europe not stated",1
"Algeria",303
"Angola",52
"Benin",25
"Botswana",13
"Burkina Faso",39
"Burundi",397
"Cameroon",658
"Central African Republic",4
"Comoros",5
"Congo, Democratic Republic",1120
"Congo, Republic",783
"Djibouti",16
"Egypt",746
"Ivory Coast",276
"Eritrea",289
"Eswantini",9
"Ethiopia",655
"Gabon",3
"Gambia, The",407
"Ghana",1250
"Guinea",63
"Guinea-Bissau",26
"Cape Verde",11
"Kenya",697
"Lesotho",10
"Liberia",94
"Libya",101
"Madagascar",22
"Malawi",24
"Mali",22
"Morocco",2859
"Mauritania",5
"Mauritius",41
"Mozambique",95
"Namibia",30
"Niger",5
"Nigeria",1054
"Reunion",0
"Rwanda",241
"Sao Tome and Principe",0
"Senegal",98
"Seychelles",10
"Sierra Leone",228
"Saint Helena",0
"Somalia",8574
"Spanish territories in Africa",0
"Sudan",688
"South Africa",405
"South Sudan",0
"Southwest Africa",0
"Tanzania",450
"Chad",12
"Togo",84
"Tunisia",508
"Uganda",793
"Zambia",278
"Zimbabwe",129
"Equatorial Guinea",1
"Africa not stated",27
"Canada",1985
"USA",8659
"North America not stated",0
"Antigua and Barbuda",0
"Argentina",383
"Aruba",0
"Bahamas",6
"Barbados",13
"Belize",4
"Bermuda",0
"Bolivia",92
"Brazil",1961
"British West Indies",0
"Chile",642
"Colombia",694
"Costa Rica",88
"Cuba",365
"Curacao",0
"Dominica",6
"Dominican Republic",73
"Ecuador",185
"El Salvador",30
"Falkland Islands",0
"French Guiana",0
"French West Indies",0
"Grenada",5
"Guadeloupe",0
"Guatemala",73
"Guyana",16
"Haiti",12
"Honduras",68
"Jamaica",77
"Martinique",0
"Mexico",765
"Nauru",0
"Netherlands Antilles",0
"Nicaragua",87
"Panama",38
"Paraguay",30
"Peru",531
"Puerto Rico",0
"Saint Kitts and Nevis",0
"Saint Lucia",6
"Saint Vincent and the Grenadines",1
"Suriname",2
"Trinidad and Tobago",55
"Uruguay",67
"Venezuela",303
"West Indies",0
"South and central America not stated",0
"Abu Dhabi",0
"Afghanistan",10214
"Armenia",377
"Azerbaijan",264
"Bahrain",9
"Bangladesh",941
"Bhutan",413
"Brunei",2
"Cambodia",134
"Dubai",0
"Philippines",7852
"United Arab Emirates",3
"Gaza",0
"Georgia",143
"Hong Kong",0
"India",5513
"Indochina",0
"Indonesia",785
"Iraq",14909
"Iran",6195
"Israel",602
"Japan",1347
"Jordan",775
"Kazakhstan",119
"China",8327
"Kyrgyzstan",33
"Kuwait",36
"Laos",28
"Lebanon",1489
"Macao",0
"Malaysia",381
"Maldives",9
"Middle East not stated",18
"Mongolia",55
"Myanmar",2090
"Nepal",1951
"North Korea",65
"North Yemen",0
"Oman",1
"Pakistan",9059
"Palestine",0
"Qatar",4
"Saudi Arabia",9
"Sikkim",0
"Singapore",359
"Sri Lanka",2643
"South Korea",520
"Syria",3510
"Tajikistan",17
"Taiwan",175
"Thailand",9116
"Trucial Oman",0
"Turkmenistan",10
"Uzbekistan",268
"West Bank",0
"West bank and Gaza",0
"Vietnam",4115
"Yemen",54
"East Jerusalem",0
"Asia not stated",1
"Australia",1828
"Cook Islands",0
"Fiji",7
"French territories in the Pacific",0
"Kiribati",0
"Marshall Islands",0
"New Zealand",506
"Papua New Guinea",3
"Solomon Islands",1
"Samoa",8
"Tonga",5
"Tuvalu",0
"Vanuatu",0
"East Timor",0
"Pacific Islands",0
"Stateless",3875
"Not stated",111
